#Produktgruppe;Lieferant;Artikelnummer;Bezeichnung;Barcode;Herkunftsland;VPE;VK-Preis;EK-Preis;Variabel
Gewürze und Kräuter;EP;sa110106;„Sweet Chili & Chocolate“, Kandiszucker m. Schokolade u. Chili in der Mühle 70 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa110101;„Sweet Citrus“, Kandiszucker m. Orangen- u. Zitronenschalen in der Mühle 65 g;;Südafrika;6;3,95;;
Wein;GEPA;1682202;Ilula Pinotage W.O. Western Cape, trocken 0,75 l;;Südafrika;6;6,49;;
Wein;GEPA;1682203;Ilula Merlot W.O. Western Cape, trocken 0,75 l;;Südafrika;6;6,49;;
Wein;GEPA;1682205;Ilula Shiraz W.O. Western Cape, trocken 0,75 l;;Südafrika;6;5,99;;
Wein;GEPA;1522202;Koopmannskloof Cabernet Sauvignon Wine of Origin Stellenbosch trocken 0,75 l;;Südafrika;6;5,79;;
Wein;GEPA;1522203;Koopmannskloof Shiraz Wine of Origin Stellenbosch trocken 0,75 l;;Südafrika;6;5,79;;
Wein;GEPA;3502201;SOLOMBRA Cabernet Sauvignon Bonarda, trocken 0,75 l;;Argentinien;6;5,99;;
Wein;GEPA;3502202;SOLOMBRA Malbec, trocken 0,75 l;;Argentinien;6;5,49;;
Wein;GEPA;3902202;Las Lomas, Pais-Cabernet Sauvignon trocken 0,75 l;;Chile;6;5,49;;
Wein;GEPA;3982207;Lautaro Bio Merlot trocken 0,75 l;;Chile;6;6,49;;
Wein;GEPA;3982208;Lautaro Bio Cabernet Sauvignon trocken 0,75 l;;Chile;6;6,49;;
Wein;GEPA;3982205;Lautaro Otoño trocken 0,75 l;;Chile;6;5,99;;
Wein;GEPA;8912210;El Sur, Cabernet Sauvignon trocken 0,75 l;;Chile;6;4,29;;
Wein;GEPA;8912215;El Sur, Cabernet Sauvignon trocken 0,25 l;;Chile;20;2,49;;
Wein;EP;ch111201;Cabernet Sauvignon Chilenischer Rotwein  0,375 l;;Chile;12;2,99;;
Wein;EP;ch111501;Merlot Chilenischer Rotwein 0,375 l;;Chile;12;2,99;;
Wein;EP;ch111200;Cabernet Sauvignon Chilenischer Rotwein  0,75 l;;Chile;12;4,95;;
Wein;EP;ch111900;Syrah Reserva Chilenischer Rotwein 0,75 l;;Chile;12;7,9;;
Wein;EP;ch111400;"""Chequén Orgánico"", Chilenischer Rotwein, Cabernet Sauvignon und Carmenere, BIO 0,75 l";;Chile;12;5,2;;
Wein;EP;ch111500;Merlot Chilenischer Rotwein 0,75 l;;Chile;12;4,95;;
Wein;GEPA;3982209;Lautaro Bio Carmenere trocken 0,75 l;;Chile;6;6,49;;
Wein;Libera Terra;LT303;Hiso Telaray Rosso Salento Libera Terra Puglia, Rotwein Apulien IGT Jahrgang 2010 0,75 l;;Italien;6;7,95;;
Wein;Libera Terra;LT303-2012;Hiso Telaray Rosso Salento Libera Terra Puglia, Rotwein Apulien IGT, JG 2012 0,75 l;;Italien;6;9,45;;
Wein;Libera Terra;LT304;Filari di Sant'Antoni, Negroamaro Salento Libera Terra Puglia, Rotwein Apulien IGT 0,75 l;;Italien;6;9,95;;
Wein;Libera Terra;LT302;Centopassi Blend Rosso Libera Terra, Centopassi, Rotwein Sizilien IGT 0,75 l;;Italien;6;9,95;;
Wein;Libera Terra;LT306;Centopassi Nero d'Avola Rosso Libera Terra, Rotwein Sizilien DOC 0,75 l;;Italien;6;10,95;;
Wein;Libera Terra;LT308;Renata Fonte, Negroamaro, Rosso Salento Libera Terra Puglia, Rotwein Apulien IGT 0,75 l;;Italien;6;19,95;;
Wein;Libera Terra;LT309;Primitivo Anto', Rosso Salento Libera Terra Puglia, Rotwein Apulien IGT 0,75 l;;Italien;6;19,95;;
Wein;GEPA;8912222;Goue Vallei Rosé Goue Vallei - Western Cape 0,75 l;;Südafrika;6;4,99;;
Wein;GEPA;1522201;Koopmannskloof Pinotage Rosé Wine of Origin Stellbosch, halbtrocken 0,75 l;;Südafrika;6;5,99;;
Wein;EP;ch111800;Rosé Reserva Chilenischer Rotwein 0,75 l;;Chile;12;7,5;;
Wein;GEPA;3902204;Las Lomas - Cabernet Sauvignon Rosé trocken 0,75 l;;Chile;6;5,99;;
Wein;Libera Terra;LT341;Alberelli de la Santa Negroamaro Salento IGT, Roséwein, Apulien 0,75 l;;Italien;6;8,95;;
Wein;GEPA;1682207;Ilula Chenin-Sauvignon Blanc W.O. Western Cape, trocken 0,75 l;;Südafrika;6;5,99;;
Wein;GEPA;1522205;Koopmannskloof Sauvignon Blanc Wine of Origin Stellbosch, trocken 0,75 l;;Südafrika;6;5,49;;
Wein;GEPA;3502203;SOLOMBRA Torrontes, trocken 0,75 l;;Argentinien;6;5,99;;
Wein;EP;ch111701;Sauvignon Blanc, Chile 0,375;;Chile;12;2,99;;
Wein;EP;ch111700;Sauvignon Blanc, Chile 0,75 l;;Chile;12;4,95;;
Wein;GEPA;3902203;Las Lomas, Chardonnay trocken 0,75 l;;Chile;6;5,49;;
Wein;GEPA;8912211;El Sur, Sauvignon Blanc Valle de Lontué, trocken 0,75 l;;Chile;6;3,99;;
Wein;GEPA;3982206;Lautaro Bio-Sauvignon Blanc trocken 0,75 l;;Chile;6;6,49;;
Wein;Libera Terra;LT352;Wein  Centopassi Blend Bianco Libera Terra,  Weißwein Sizilien DOC 0,75 l;;Italien;6;9,45;;
Wein;Libera Terra;LT356;Wein  Centopassi Grillo-Cataratto Bianco Libera Terra,  Weißwein Sizilien DOC 0,75 l;;Italien;6;10,95;;
sonstige alkoholische Getränke;EP;sa011006;Stellar Organics Extra Dry Schaumwein 0,75 l;;Südafrika;6;12,95;;
sonstige alkoholische Getränke;Libera Terra;LT401;Limoncello di Sicilia Libera Terra, sizilianischer Zitronenlikör mit fair gehandeltem Rohrzucker aus Costa Rica, 28% Vol. 0,5l;;Italien Costa Rica;6;18,5;;
sonstige alkoholische Getränke;GEPA;4318603;Bio Met – nach altem Rezept Honigwein, 12% Vol 0,75 l;;Mexiko;6;5,49;;
sonstige alkoholische Getränke;EP;cu111300;"""Cubita"" Kaffeelikör, 32% Vol. 0,7 l";;Cuba;6;14,9;;
sonstige alkoholische Getränke;dwp;rmi117002;"Kaffeelikör ""Cafecito"", 18% Vol.  0,35l";;diverse;6;9,9;;
sonstige alkoholische Getränke;dwp;rph817008;Mango-Limes, 16% Vol. 500ml;;Philippinen;6;11,9;;
Rum;dwp;rbr217001;Cachaça, brasilianische Spirituose aus Zuckerrohr, 40,5% Vol.  0,35 l;;Brasilien;6;13,5;;
Rum;EP;cu111201;"Ron de Cuba """"Varadero"""" weißer Rum aus Cuba, 3 Jahre gereift 0,7 l";;Cuba;12;14,5;;
Rum;EP;cu111202;"Ron de Cuba ""Varadero"" brauner Rum aus Cuba, 5 Jahre gereift 0,7 l";;Cuba;12;16,5;;
Rum;EP;cu111200;"Ron de Cuba ""Varadero"" brauner Rum aus Cuba, 7 Jahre gereift 0,7 l";;Cuba;12;17,5;;
Rum;EP;cu111203;"Ron de Cuba ""Varadero"" brauner Rum aus Cuba, 15 Jahre gereift 0,7 l";;Cuba;6;49,9;;
Ergänzungsprodukte;Unbekannt;Z007;Wein-Geschenkkarton für 2 Flaschen rot, offene Welle 1 St.;;;1;2,5;;
Ergänzungsprodukte;Unbekannt;Z008;Wein-Geschenkkarton für 3 Flaschen rot, offene Welle 1 St.;;;1;3,5;;
Ergänzungsprodukte;Libera Terra;Z300;Holz-Präsentbox „Centopassi“ für drei Flaschen Wein 1 St.;;;1;5;;
Alkoholfreie Getränke 15 Cent Pfand;EP;cu118020;Orangensaft zzgl. Mehrwegpfand 0,2 l;;Cuba;12;0,99;;
Alkoholfreie Getränke 15 Cent Pfand;EP;cu118100;Orangensaft zzgl. Mehrwegpfand 1 l;;Cuba;6;2,29;;
Alkoholfreie Getränke 15 Cent Pfand;EP;cu118200;Grapefruitsaft zzgl. Mehrwegpfand 1 l;;Cuba;6;2,29;;
Alkoholfreie Getränke 15 Cent Pfand;Bannmühle;BM020;Apfel-Mango-Saft, Pfandflasche 1 l;;Deutschland, Philippinen;6;3,3;;
Alkoholfreie Getränke 15 Cent Pfand;Bannmühle;BM010;Apfelsaft, Pfandflasche 1 l;;Deutschland ;6;2,2;;
Alkoholfreie Getränke pfandfrei;GEPA;6042007;Merida Orangensaft  1,0 l;; Brasilien;12;1,89;;
Alkoholfreie Getränke pfandfrei;GEPA;8912009;Batida del Mundo  1,0 l;;diverse ;12;1,89;;
Alkoholfreie Getränke pfandfrei;GEPA;6042005;Merida Orangensaft (3 x 0,2 l) 0,6 l;; Brasilien;10;1,49;;
Alkoholfreie Getränke pfandfrei;ethiquable;87;Mango Maracuja Saft 1,0 l;;Peru;10;3,49;;
Alkoholfreie Getränke pfandfrei;ethiquable;99;Multifrucht Saft 1,0 l;;Peru/Ecuador/Brasilien;10;3,49;;
Alkoholfreie Getränke pfandfrei;ethiquable;88;Limette Nektar 1,0 l;;Brasilien Peru;10;2,99;;
Alkoholfreie Getränke pfandfrei;ethiquable;100;Apfel Mango Brombeer Saft 1,0 l;;Peru Ecuador;10;3,49;;
